ATIVO;SUBATIVO;PERIODICIDADE (DIAS);LUBRIFICANTE;QTD(G);TIPO;DESCRIÇÃO;ULTIMA (DATA);PRÓXIMA (DATA);ULTIMA (HORAS);PRÓXIMA (HORAS);TIMER (DIAS);STATUS
REBOBINADEIRA;MANCAL 1;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL 2;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL 3;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL 4;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL 5;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL 6;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL T EXAUSTOR;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
REBOBINADEIRA;MANCAL D EXAUSTOR;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-11;2026-02-26;;360.0;1;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 1;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 2;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 3;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 4;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 5;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 6;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 7;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;MANCAL ENROLADEIRA 8;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-10;🟢 No Prazo
MÁQUINA DE PAPEL;SECAGEM ROLOS GUIAS;10;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-23;;240.0;-11;🟢 No Prazo
MÁQUINA DE PAPEL;ROLOS PRENSAS;15;MOBIL CENTAURO 462;;GRAXA;LUBRIFICAÇÃO;2026-02-03;2026-02-18;;360.0;-10;🔴 Vencida
MÁQUINA DE PAPEL;ROLO GUIA PRENSA;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-13;2026-02-28;;360.0;10;🟢 No Prazo
MÁQUINA DE PAPEL;MESA PLANA;10;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-09;2026-02-19;;240.0;5;🟡 Hoje
MÁQUINA DE PAPEL;SECADOR;15;VG 220;;ÓLEO;LUBRIFICAÇÃO;2026-02-03;2026-02-18;;360.0;329;🔴 Vencida
MÁQUINA DE PAPEL;UNIDADES HIDRAULICAS DE ÓLEO DOS SECADORES;90;VG 220;;ÓLEO;LUBRIFICAÇÃO;2026-01-08;2026-04-08;;2160.0; ;🟢 No Prazo
MÁQUINA DE PAPEL;UNIDADES HIDRAULICAS DAS PRENSAS;90;68;;ÓLEO;LUBRIFICAÇÃO;2026-01-08;2026-04-08;;2160.0; ;🟢 No Prazo
REFINADOR;CONJUNTO ROTATIVO;15;VG 220;;ÓLEO;LUBRIFICAÇÃO;2026-02-09;2026-02-24;;360.0;8;🟢 No Prazo
REFINADOR;MOTOR;15;MOBILGREASE POLIREX EM;;GRAXA;LUBRIFICAÇÃO;2026-01-25;2026-02-09;;360.0; ;🔴 Vencida
TANQUE DE MASSA 1;MANCAL 1 AGITADOR 1;15;MOBIL XHP 222;;GRAXA;LUBRIFICAÇÃO;2026-02-12;2026-02-27;;360.0;10;🟢 No Prazo
